city,country,venue,capacity,matches_hosted,date,date_type,url,prices_found,median_price,error
Kansas City,USA,Arrowhead Stadium,73170,6,2026-06-15,match,"https://www.booking.com/searchresults.html?ss=Kansas City, Missouri&checkin=2026-06-15&checkout=2026-06-16&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[199.0, 199.0, 219.0, 219.0, 225.0, 225.0, 228.0, 228.0, 228.0, 228.0, 236.0, 236.0, 249.0, 249.0, 250.0, 250.0, 252.0, 252.0, 257.0, 257.0, 264.0, 264.0, 266.0, 266.0, 271.0]",249.0,
Kansas City,USA,Arrowhead Stadium,73170,6,2026-04-20,baseline,"https://www.booking.com/searchresults.html?ss=Kansas City, Missouri&checkin=2026-04-20&checkout=2026-04-21&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Kansas City,USA,Arrowhead Stadium,73170,6,2026-06-22,match,"https://www.booking.com/searchresults.html?ss=Kansas City, Missouri&checkin=2026-06-22&checkout=2026-06-23&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[124.0, 124.0, 130.0, 130.0, 139.0, 139.0, 144.0, 144.0, 150.0, 150.0, 153.0, 153.0, 153.0, 153.0, 156.0, 156.0, 158.0, 158.0, 159.0, 159.0, 160.0, 160.0, 160.0, 160.0, 164.0]",153.0,
Kansas City,USA,Arrowhead Stadium,73170,6,2026-04-27,baseline,"https://www.booking.com/searchresults.html?ss=Kansas City, Missouri&checkin=2026-04-27&checkout=2026-04-28&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Kansas City,USA,Arrowhead Stadium,73170,6,2026-06-29,match,"https://www.booking.com/searchresults.html?ss=Kansas City, Missouri&checkin=2026-06-29&checkout=2026-06-30&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[115.0, 115.0, 122.0, 122.0, 124.0, 124.0, 134.0, 134.0, 135.0, 135.0, 139.0, 139.0, 139.0, 139.0, 142.0, 142.0, 144.0, 144.0, 147.0, 147.0, 149.0, 149.0, 152.0, 152.0, 152.0]",139.0,
Kansas City,USA,Arrowhead Stadium,73170,6,2026-05-04,baseline,"https://www.booking.com/searchresults.html?ss=Kansas City, Missouri&checkin=2026-05-04&checkout=2026-05-05&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Toronto,Canada,BMO Field,45000,6,2026-06-13,match,"https://www.booking.com/searchresults.html?ss=Toronto, Ontario&checkin=2026-06-13&checkout=2026-06-14&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[112.0, 112.0, 146.0, 146.0, 150.0, 150.0, 150.0, 150.0, 174.0, 174.0, 176.0, 176.0, 185.0, 185.0, 190.0, 190.0, 203.0, 203.0, 203.0, 203.0, 204.0, 204.0, 217.0, 217.0, 218.0]",185.0,
Toronto,Canada,BMO Field,45000,6,2026-04-18,baseline,"https://www.booking.com/searchresults.html?ss=Toronto, Ontario&checkin=2026-04-18&checkout=2026-04-19&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Toronto,Canada,BMO Field,45000,6,2026-06-21,match,"https://www.booking.com/searchresults.html?ss=Toronto, Ontario&checkin=2026-06-21&checkout=2026-06-22&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[112.0, 112.0, 122.0, 122.0, 122.0, 122.0, 135.0, 135.0, 137.0, 137.0, 142.0, 142.0, 145.0, 145.0, 161.0, 161.0, 164.0, 164.0, 166.0, 166.0, 174.0, 174.0, 175.0, 175.0, 176.0]",145.0,
Toronto,Canada,BMO Field,45000,6,2026-04-26,baseline,"https://www.booking.com/searchresults.html?ss=Toronto, Ontario&checkin=2026-04-26&checkout=2026-04-27&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Toronto,Canada,BMO Field,45000,6,2026-06-28,match,"https://www.booking.com/searchresults.html?ss=Toronto, Ontario&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[112.0, 112.0, 112.0, 112.0, 117.0, 117.0, 137.0, 137.0, 143.0, 143.0, 145.0, 145.0, 147.0, 147.0, 153.0, 153.0, 160.0, 160.0, 161.0, 161.0, 164.0, 164.0, 164.0, 164.0, 171.0]",147.0,
Toronto,Canada,BMO Field,45000,6,2026-05-03,baseline,"https://www.booking.com/searchresults.html?ss=Toronto, Ontario&checkin=2026-05-03&checkout=2026-05-04&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
